id_venta,fecha,id_cliente,nombre_cliente,email,medio_pago
1,06-19-24,62,Guadalupe Romero,guadalupe.romero@mail.com,tarjeta
2,03-17-24,49,Olivia Gomez,olivia.gomez@mail.com,qr
3,01-13-24,20,Tomas Acosta,tomas.acosta@mail.com,tarjeta
4,02-27-24,36,Martina Molina,martina.molina@mail.com,transferencia
5,06-11-24,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta
6,05-05-24,91,Uma Sanchez,uma.sanchez@mail.com,transferencia
7,05-06-24,92,Mariana Rodriguez,mariana.rodriguez@mail.com,efectivo
8,01-06-24,66,Tomas Herrera,tomas.herrera@mail.com,transferencia
9,01-20-24,86,Diego Torres,diego.torres@mail.com,efectivo
10,05-28-24,52,Diego Diaz,diego.diaz@mail.com,qr
11,04-10-24,20,Tomas Acosta,tomas.acosta@mail.com,qr
12,06-28-24,96,Rocio Gonzalez,rocio.gonzalez@mail.com,efectivo
13,01-24-24,6,Uma Medina,uma.medina@mail.com,tarjeta
14,04-18-24,67,Ivana Romero,ivana.romero@mail.com,qr
15,06-27-24,56,Bruno Diaz,bruno.diaz@mail.com,transferencia
16,04-12-24,2,Nicolas Rojas,nicolas.rojas@mail.com,efectivo
17,02-17-24,88,Felipe Castro,felipe.castro@mail.com,efectivo
18,06-11-24,81,Camila Ruiz,camila.ruiz@mail.com,qr
19,06-11-24,80,Gael Ruiz,gael.ruiz@mail.com,efectivo
20,01-13-24,75,Santiago Castro,santiago.castro@mail.com,tarjeta
21,06-19-24,10,Karina Acosta,karina.acosta@mail.com,transferencia
22,05-08-24,64,Julian Alvarez,julian.alvarez@mail.com,transferencia
23,05-16-24,78,Emilia Alvarez,emilia.alvarez@mail.com,transferencia
24,06-14-24,55,Olivia Ruiz,olivia.ruiz@mail.com,tarjeta
25,04-30-24,13,Ivana Sanchez,ivana.sanchez@mail.com,transferencia
26,01-23-24,49,Olivia Gomez,olivia.gomez@mail.com,efectivo
27,02-25-24,9,Yamila Molina,yamila.molina@mail.com,transferencia
28,05-20-24,52,Diego Diaz,diego.diaz@mail.com,qr
29,02-20-24,49,Olivia Gomez,olivia.gomez@mail.com,qr
30,03-03-24,93,Gael Rojas,gael.rojas@mail.com,efectivo
31,05-22-24,19,Uma Silva,uma.silva@mail.com,tarjeta
